,degree_term,degree_steiner,degree_combined,median_term,median_steiner,median_combine,num_terminal,num_steiner,num_combined,degree_steiner_term_diff,coherency
forest\w_1.5_b_2_g_25000,63.5531914893617,77.56272401433692,67.72465314834578,21.0,35.0,24.0,658.0,279.0,300.0,-14.00953252497522,2.3584229390681
forest\w_1.25_b_2_g_25000,62.98795180722892,77.56272401433692,67.30010604453871,20.0,35.0,24.0,664.0,279.0,300.0,-14.574772207108005,2.379928315412186
forest\w_1_b_2_g_25000,62.98795180722892,77.83093525179856,67.3683651804671,20.0,35.0,24.0,664.0,278.0,300.0,-14.842983444569647,2.3884892086330933
forest\w_1.5_b_1_g_25000,52.94295900178253,71.87939698492463,57.901315789473685,25.0,33.0,26.5,561.0,199.0,300.0,-18.936437983142092,2.819095477386935
forest\w_1.25_b_0.75_g_25000,53.93333333333333,74.19166666666666,58.31351351351351,26.0,34.0,27.0,435.0,120.0,300.0,-20.258333333333333,3.625
forest\w_1.5_b_0.75_g_25000,53.932870370370374,74.19166666666666,58.33695652173913,26.0,34.0,27.0,432.0,120.0,300.0,-20.25879629629629,3.6
forest\w_1.25_b_1_g_25000,52.21441124780316,72.645,57.52795838751626,24.0,34.0,26.0,569.0,200.0,300.0,-20.430588752196833,2.845
forest\w_1_b_0.75_g_25000,53.20776255707762,74.19166666666666,57.72043010752688,25.0,34.0,27.0,438.0,120.0,300.0,-20.98390410958904,3.65
forest\w_0.75_b_0.75_g_10000,71.95412844036697,94.50393700787401,76.21577380952381,26.0,45.0,29.5,545.0,127.0,300.0,-22.549808567507043,4.291338582677166
forest\w_1_b_1_g_10000,68.36859504132231,93.11475409836065,74.11548223350253,23.0,48.0,27.0,605.0,183.0,300.0,-24.74615905703834,3.3060109289617485
forest\w_1.5_b_1_g_10000,68.25907590759076,93.44324324324324,74.14917825537295,23.0,48.0,27.0,606.0,185.0,300.0,-25.18416733565249,3.2756756756756755
forest\w_1.25_b_1_g_10000,68.25907590759076,93.44324324324324,74.14917825537295,23.0,48.0,27.0,606.0,185.0,300.0,-25.18416733565249,3.2756756756756755
forest\w_0.75_b_1_g_10000,67.06645056726094,93.27272727272727,72.88272383354351,22.0,49.5,27.0,617.0,176.0,300.0,-26.206276705466323,3.5056818181818183
forest\w_0.25_b_0.25_g_1000,71.16533864541833,98.61538461538461,74.31216931216932,20.5,75.0,25.0,502.0,65.0,300.0,-27.450045969966283,7.723076923076923
forest\w_0.5_b_0.75_g_2500,66.9919224555735,95.45033112582782,72.57272727272728,22.0,68.0,30.0,619.0,151.0,300.0,-28.458408670254315,4.099337748344371
forest\w_1.25_b_2_g_10000,63.003003003003,97.65384615384616,72.01222222222222,20.0,50.5,26.0,666.0,234.0,300.0,-34.65084315084316,2.8461538461538463
forest\w_1.5_b_2_g_10000,63.003003003003,97.65384615384616,72.01222222222222,20.0,50.5,26.0,666.0,234.0,300.0,-34.65084315084316,2.8461538461538463
forest\w_1_b_2_g_10000,63.003003003003,97.65384615384616,72.01222222222222,20.0,50.5,26.0,666.0,234.0,300.0,-34.65084315084316,2.8461538461538463
forest\w_1.25_b_1.5_g_10000,64.2021439509954,99.2914798206278,73.13470319634703,22.0,51.0,27.0,653.0,223.0,300.0,-35.08933586963239,2.928251121076233
forest\w_1.5_b_1.5_g_10000,64.2021439509954,99.2914798206278,73.13470319634703,22.0,51.0,27.0,653.0,223.0,300.0,-35.08933586963239,2.928251121076233
forest\w_1_b_1.5_g_10000,64.2021439509954,99.2914798206278,73.13470319634703,22.0,51.0,27.0,653.0,223.0,300.0,-35.08933586963239,2.928251121076233
forest\w_1.25_b_0.5_g_25000,53.7168458781362,88.81967213114754,60.01470588235294,30.0,32.0,31.0,279.0,61.0,300.0,-35.102826253011344,4.573770491803279
forest\w_0.5_b_0.5_g_1000,78.5427974947808,114.42465753424658,86.9248,27.0,76.0,40.0,479.0,146.0,300.0,-35.88186003946578,3.280821917808219
forest\w_1.5_b_0.5_g_25000,54.07942238267148,90.16666666666667,60.50445103857567,31.0,33.5,31.0,277.0,60.0,300.0,-36.08724428399519,4.616666666666666
forest\w_0.75_b_2_g_10000,62.8188622754491,99.24215246636771,71.93490460157126,20.0,53.0,26.0,668.0,223.0,300.0,-36.423290190918614,2.995515695067265
forest\w_0.75_b_1.5_g_10000,63.628224582701066,100.5,72.66666666666667,21.0,54.0,27.0,659.0,214.0,300.0,-36.871775417298934,3.0794392523364484
forest\w_1.5_b_0.5_g_10000,64.75142857142858,101.8169014084507,71.00237529691212,31.0,38.0,33.0,350.0,71.0,300.0,-37.06547283702213,4.929577464788732
forest\w_1.25_b_0.5_g_10000,64.8,103.07142857142857,71.17857142857143,31.5,38.0,33.0,350.0,70.0,300.0,-38.27142857142857,5.0
forest\w_0.25_b_0.75_g_1000,62.877061469265364,101.45679012345678,67.0548128342246,20.0,73.0,24.0,667.0,81.0,300.0,-38.57972865419142,8.234567901234568
forest\w_0.25_b_1_g_1000,62.8188622754491,101.45679012345678,66.99732977303071,20.0,73.0,24.0,668.0,81.0,300.0,-38.637927848007685,8.246913580246913
forest\w_0.25_b_2_g_1000,62.8188622754491,101.45679012345678,66.99732977303071,20.0,73.0,24.0,668.0,81.0,300.0,-38.637927848007685,8.246913580246913
forest\w_0.25_b_1.5_g_1000,62.8188622754491,101.45679012345678,66.99732977303071,20.0,73.0,24.0,668.0,81.0,300.0,-38.637927848007685,8.246913580246913
forest\w_0.25_b_0.5_g_1000,63.48854961832061,102.475,67.73197278911564,20.0,74.0,24.0,655.0,80.0,300.0,-38.98645038167938,8.1875
forest\w_0.75_b_0.5_g_2500,87.25934579439253,127.80833333333334,96.13868613138686,32.0,69.5,41.0,428.0,120.0,300.0,-40.54898753894081,3.566666666666667
forest\w_1_b_0.5_g_2500,87.25934579439253,127.80833333333334,96.13868613138686,32.0,69.5,41.0,428.0,120.0,300.0,-40.54898753894081,3.566666666666667
forest\w_1.5_b_0.5_g_2500,87.25934579439253,127.80833333333334,96.13868613138686,32.0,69.5,41.0,428.0,120.0,300.0,-40.54898753894081,3.566666666666667
forest\w_1.25_b_0.5_g_2500,87.25934579439253,127.80833333333334,96.13868613138686,32.0,69.5,41.0,428.0,120.0,300.0,-40.54898753894081,3.566666666666667
forest\w_0.5_b_1_g_2500,63.993883792048926,105.11560693641619,72.59613059250302,21.0,70.0,30.0,654.0,173.0,300.0,-41.12172314436726,3.7803468208092488
forest\w_0.5_b_2_g_2500,62.8188622754491,105.39106145251397,71.81582054309327,20.0,71.0,29.0,668.0,179.0,300.0,-42.57219917706487,3.7318435754189943
forest\w_0.5_b_1.5_g_2500,62.98198198198198,105.7247191011236,71.99644549763033,20.0,71.0,29.0,666.0,178.0,300.0,-42.742737119141616,3.741573033707865
forest\w_0.5_b_0.75_g_1000,67.02898550724638,112.2565445026178,77.66748768472907,22.0,75.0,34.0,621.0,191.0,300.0,-45.227558995371425,3.25130890052356
forest\w_1_b_0.5_g_1000,82.5956043956044,128.44736842105263,94.07742998352553,29.0,76.0,43.0,455.0,152.0,300.0,-45.85176402544823,2.9934210526315788
forest\w_0.75_b_0.5_g_1000,82.5956043956044,128.44736842105263,94.07742998352553,29.0,76.0,43.0,455.0,152.0,300.0,-45.85176402544823,2.9934210526315788
forest\w_1.5_b_0.5_g_1000,82.5956043956044,128.44736842105263,94.07742998352553,29.0,76.0,43.0,455.0,152.0,300.0,-45.85176402544823,2.9934210526315788
forest\w_1.25_b_0.5_g_1000,82.33041575492341,128.44736842105263,93.84072249589491,29.0,76.0,42.0,457.0,152.0,300.0,-46.11695266612922,3.0065789473684212
forest\w_0.5_b_1_g_1000,63.6838905775076,116.48826291079813,76.59701492537313,21.0,76.0,33.0,658.0,213.0,300.0,-52.80437233329053,3.0892018779342725
forest\w_0.5_b_1.5_g_1000,62.8188622754491,117.57870370370371,76.19909502262443,20.0,76.5,32.0,668.0,216.0,300.0,-54.75984142825461,3.0925925925925926
forest\w_0.5_b_2_g_1000,62.8188622754491,117.57870370370371,76.19909502262443,20.0,76.5,32.0,668.0,216.0,300.0,-54.75984142825461,3.0925925925925926
forest\w_1_b_0.75_g_1000,68.83112582781457,128.99024390243903,84.07540173053152,24.0,75.0,37.0,604.0,205.0,300.0,-60.15911807462446,2.946341463414634
forest\w_1.25_b_0.75_g_1000,68.83112582781457,128.99024390243903,84.07540173053152,24.0,75.0,37.0,604.0,205.0,300.0,-60.15911807462446,2.946341463414634
forest\w_1.5_b_0.75_g_1000,68.83112582781457,128.99024390243903,84.07540173053152,24.0,75.0,37.0,604.0,205.0,300.0,-60.15911807462446,2.946341463414634
forest\w_0.75_b_0.75_g_1000,68.83112582781457,128.99024390243903,84.07540173053152,24.0,75.0,37.0,604.0,205.0,300.0,-60.15911807462446,2.946341463414634
forest\w_1.25_b_0.75_g_2500,70.85445205479452,131.22598870056498,84.89618922470433,24.5,70.0,34.0,584.0,177.0,300.0,-60.37153664577046,3.2994350282485874
forest\w_1.5_b_0.75_g_2500,70.85445205479452,131.22598870056498,84.89618922470433,24.5,70.0,34.0,584.0,177.0,300.0,-60.37153664577046,3.2994350282485874
forest\w_1_b_0.75_g_2500,70.85445205479452,131.22598870056498,84.89618922470433,24.5,70.0,34.0,584.0,177.0,300.0,-60.37153664577046,3.2994350282485874
forest\w_0.75_b_0.75_g_2500,70.73504273504274,131.22598870056498,84.78608923884515,24.0,70.0,34.0,585.0,177.0,300.0,-60.49094596552224,3.305084745762712
forest\w_1.5_b_1_g_2500,65.25273010920436,131.16216216216216,82.20741599073001,22.0,70.0,32.0,641.0,222.0,300.0,-65.9094320529578,2.8873873873873874
forest\w_1.25_b_1_g_2500,65.25273010920436,131.16216216216216,82.20741599073001,22.0,70.0,32.0,641.0,222.0,300.0,-65.9094320529578,2.8873873873873874
forest\w_1_b_1_g_2500,65.25273010920436,131.16216216216216,82.20741599073001,22.0,70.0,32.0,641.0,222.0,300.0,-65.9094320529578,2.8873873873873874
forest\w_0.75_b_1_g_2500,65.15264797507788,131.16216216216216,82.11342592592592,22.0,70.0,32.0,642.0,222.0,300.0,-66.00951418708428,2.891891891891892
forest\w_1.25_b_1_g_1000,64.26687116564418,133.5084745762712,82.66891891891892,22.0,76.0,34.0,652.0,236.0,300.0,-69.24160341062702,2.76271186440678
forest\w_1.5_b_1_g_1000,64.26687116564418,133.5084745762712,82.66891891891892,22.0,76.0,34.0,652.0,236.0,300.0,-69.24160341062702,2.76271186440678
forest\w_0.75_b_1_g_1000,64.26687116564418,133.5084745762712,82.66891891891892,22.0,76.0,34.0,652.0,236.0,300.0,-69.24160341062702,2.76271186440678
forest\w_1_b_1_g_1000,64.26687116564418,133.5084745762712,82.66891891891892,22.0,76.0,34.0,652.0,236.0,300.0,-69.24160341062702,2.76271186440678
forest\w_1.25_b_2_g_1000,62.8188622754491,132.890243902439,81.67833698030634,20.0,75.5,33.0,668.0,246.0,300.0,-70.0713816269899,2.7154471544715446
forest\w_0.75_b_2_g_1000,62.8188622754491,132.890243902439,81.67833698030634,20.0,75.5,33.0,668.0,246.0,300.0,-70.0713816269899,2.7154471544715446
forest\w_1.5_b_2_g_1000,62.8188622754491,132.890243902439,81.67833698030634,20.0,75.5,33.0,668.0,246.0,300.0,-70.0713816269899,2.7154471544715446
forest\w_1_b_2_g_1000,62.8188622754491,132.890243902439,81.67833698030634,20.0,75.5,33.0,668.0,246.0,300.0,-70.0713816269899,2.7154471544715446
forest\w_1.25_b_1.5_g_1000,62.911544227886054,133.41224489795917,81.85087719298245,20.0,76.0,33.0,667.0,245.0,300.0,-70.50070067007312,2.7224489795918365
forest\w_1_b_1.5_g_1000,62.911544227886054,133.41224489795917,81.85087719298245,20.0,76.0,33.0,667.0,245.0,300.0,-70.50070067007312,2.7224489795918365
forest\w_0.75_b_1.5_g_1000,62.911544227886054,133.41224489795917,81.85087719298245,20.0,76.0,33.0,667.0,245.0,300.0,-70.50070067007312,2.7224489795918365
forest\w_1.5_b_1.5_g_1000,62.911544227886054,133.41224489795917,81.85087719298245,20.0,76.0,33.0,667.0,245.0,300.0,-70.50070067007312,2.7224489795918365
forest\w_1.25_b_2_g_2500,62.8188622754491,135.04918032786884,82.14364035087719,20.0,71.0,31.0,668.0,244.0,300.0,-72.23031805241973,2.737704918032787
forest\w_1_b_2_g_2500,62.8188622754491,135.04918032786884,82.14364035087719,20.0,71.0,31.0,668.0,244.0,300.0,-72.23031805241973,2.737704918032787
forest\w_1.5_b_2_g_2500,62.8188622754491,135.04918032786884,82.14364035087719,20.0,71.0,31.0,668.0,244.0,300.0,-72.23031805241973,2.737704918032787
forest\w_0.75_b_2_g_2500,62.8188622754491,135.35802469135803,82.16794731064763,20.0,71.0,31.0,668.0,243.0,300.0,-72.53916241590892,2.748971193415638
forest\w_1_b_1.5_g_2500,63.090225563909776,135.87916666666666,82.39337016574585,20.0,71.0,31.0,665.0,240.0,300.0,-72.7889411027569,2.7708333333333335
forest\w_1.25_b_1.5_g_2500,63.090225563909776,135.87916666666666,82.39337016574585,20.0,71.0,31.0,665.0,240.0,300.0,-72.7889411027569,2.7708333333333335
forest\w_1.5_b_1.5_g_2500,63.090225563909776,135.87916666666666,82.39337016574585,20.0,71.0,31.0,665.0,240.0,300.0,-72.7889411027569,2.7708333333333335
forest\w_0.75_b_1.5_g_2500,63.090225563909776,136.19665271966528,82.41814159292035,20.0,71.0,31.0,665.0,239.0,300.0,-73.10642715575551,2.782426778242678
forest\w_0.25_b_0.25_g_100000,67.84055459272098,,67.84055459272098,22.0,,22.0,577.0,0.0,300.0,,0.0
forest\w_0.25_b_0.25_g_25000,68.11190053285968,,68.11190053285968,21.0,,21.0,563.0,0.0,300.0,,0.0
forest\w_0.25_b_0.5_g_100000,63.06315789473684,,63.06315789473684,20.0,,20.0,665.0,0.0,300.0,,0.0
forest\w_0.25_b_0.75_g_100000,62.8188622754491,,62.8188622754491,20.0,,20.0,668.0,0.0,300.0,,0.0
forest\w_0.25_b_1.5_g_100000,62.8188622754491,,62.8188622754491,20.0,,20.0,668.0,0.0,300.0,,0.0
forest\w_0.25_b_1_g_100000,62.8188622754491,,62.8188622754491,20.0,,20.0,668.0,0.0,300.0,,0.0
forest\w_0.25_b_2_g_100000,62.8188622754491,,62.8188622754491,20.0,,20.0,668.0,0.0,300.0,,0.0
forest\w_0.5_b_0.25_g_100000,71.40458015267176,,71.40458015267176,28.0,,28.0,131.0,0.0,300.0,,0.0
forest\w_0.75_b_0.25_g_100000,56.280701754385966,,56.280701754385966,23.0,,23.0,57.0,0.0,300.0,,0.0
forest\w_1.25_b_0.25_g_100000,20.25,,20.25,5.0,,5.0,4.0,0.0,300.0,,0.0
forest\w_1.5_b_0.25_g_100000,1.0,,1.0,1.0,,1.0,1.0,0.0,300.0,,0.0
forest\w_1_b_0.25_g_100000,63.25,,63.25,38.0,,38.0,20.0,0.0,300.0,,0.0
